NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state,county
"Baldwin County, Alabama","0500000US01003","218022","112585","1057","56813","16439","15771","01","003"
"Calhoun County, Alabama","0500000US01015","114277","59223","743","45818","3301","4613","01","015"
"Cullman County, Alabama","0500000US01043","83442","42648","710","44612","2681","2235","01","043"
"DeKalb County, Alabama","0500000US01049","71385","36337","670","36998","1608","2323","01","049"
"Elmore County, Alabama","0500000US01051","81887","41899","837","60796","4617","5529","01","051"
"Etowah County, Alabama","0500000US01055","102501","53671","685","45868","3823","4853","01","055"
"Houston County, Alabama","0500000US01069","104722","54322","731","48105","4712","4871","01","069"
"Jefferson County, Alabama","0500000US01073","659300","347141","917","55206","41693","53001","01","073"
"Lauderdale County, Alabama","0500000US01077","92387","46741","632","49014","4307","5455","01","077"
"Lee County, Alabama","0500000US01081","163941","83109","805","46456","8814","10908","01","081"
"Limestone County, Alabama","0500000US01083","96174","46976","691","67000","6663","5975","01","083"
"Madison County, Alabama","0500000US01089","366519","187555","858","63111","33188","34789","01","089"
"Marshall County, Alabama","0500000US01095","96109","48871","645","47528","4950","4366","01","095"
"Mobile County, Alabama","0500000US01097","413757","216748","824","43061","17328","23811","01","097"
"Montgomery County, Alabama","0500000US01101","225763","119150","893","49989","11604","14695","01","101"
"Morgan County, Alabama","0500000US01103","119089","59873","710","53260","7461","6976","01","103"
"St. Clair County, Alabama","0500000US01115","88690","43757","849","56602","4113","3725","01","115"
"Shelby County, Alabama","0500000US01117","215707","110685","1034","71230","21103","19076","01","117"
"Talladega County, Alabama","0500000US01121","79828","41339","650","40315","2561","2641","01","121"
"Tuscaloosa County, Alabama","0500000US01125","208911","109335","852","54459","10120","13063","01","125"
"Walker County, Alabama","0500000US01127","63711","32641","554","47602","1583","1971","01","127"
"Anchorage Municipality, Alaska","0500000US02020","291538","142870","1238","83648","21273","22609","02","020"
"Fairbanks North Star Borough, Alaska","0500000US02090","98971","45574","1232","75448","4286","6265","02","090"
